2026-04-15 16:28:20,446 - INFO - Yahoo daily raw for AAPL: shape=(251, 8), index_type=<class 'pandas.DatetimeIndex'>, index_name=Date, columns=['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'Dividends', 'Stock Splits']
2026-04-15 16:28:20,544 - INFO - Yahoo daily raw for TSLA: shape=(251, 8), index_type=<class 'pandas.DatetimeIndex'>, index_name=Date, columns=['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'Dividends', 'Stock Splits']
2026-04-15 16:28:20,650 - INFO - Yahoo daily raw for GOOG: shape=(251, 8), index_type=<class 'pandas.DatetimeIndex'>, index_name=Date, columns=['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'Dividends', 'Stock Splits']
2026-04-15 16:28:20,782 - INFO - Yahoo daily raw for MSFT: shape=(251, 8), index_type=<class 'pandas.DatetimeIndex'>, index_name=Date, columns=['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'Dividends', 'Stock Splits']
2026-04-15 16:28:20,948 - INFO - Yahoo daily raw for GE: shape=(251, 8), index_type=<class 'pandas.DatetimeIndex'>, index_name=Date, columns=['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'Dividends', 'Stock Splits']
2026-04-15 16:32:05,679 - INFO - Yahoo daily raw for AAPL: shape=(251, 8), index_type=<class 'pandas.DatetimeIndex'>, index_name=Date, columns=['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'Dividends', 'Stock Splits']
2026-04-15 16:32:05,884 - INFO - Yahoo daily raw for TSLA: shape=(251, 8), index_type=<class 'pandas.DatetimeIndex'>, index_name=Date, columns=['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'Dividends', 'Stock Splits']
2026-04-15 16:32:06,100 - INFO - Yahoo daily raw for GOOG: shape=(251, 8), index_type=<class 'pandas.DatetimeIndex'>, index_name=Date, columns=['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'Dividends', 'Stock Splits']
2026-04-15 16:32:06,360 - INFO - Yahoo daily raw for MSFT: shape=(251, 8), index_type=<class 'pandas.DatetimeIndex'>, index_name=Date, columns=['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'Dividends', 'Stock Splits']
2026-04-15 16:32:06,585 - INFO - Yahoo daily raw for GEHC: shape=(251, 8), index_type=<class 'pandas.DatetimeIndex'>, index_name=Date, columns=['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'Dividends', 'Stock Splits']
2026-04-15 16:32:06,807 - INFO - Yahoo daily raw for AAL: shape=(251, 8), index_type=<class 'pandas.DatetimeIndex'>, index_name=Date, columns=['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'Dividends', 'Stock Splits']
2026-04-15 16:32:07,089 - INFO - Yahoo daily raw for RUM: shape=(251, 8), index_type=<class 'pandas.DatetimeIndex'>, index_name=Date, columns=['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'Dividends', 'Stock Splits']
2026-04-15 16:32:07,384 - INFO - Yahoo daily raw for GE: shape=(251, 8), index_type=<class 'pandas.DatetimeIndex'>, index_name=Date, columns=['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'Dividends', 'Stock Splits']
2026-04-15 16:32:52,214 - INFO - Yahoo daily raw for AAPL: shape=(251, 8), index_type=<class 'pandas.DatetimeIndex'>, index_name=Date, columns=['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'Dividends', 'Stock Splits']
2026-04-15 16:32:52,413 - INFO - Yahoo daily raw for TSLA: shape=(251, 8), index_type=<class 'pandas.DatetimeIndex'>, index_name=Date, columns=['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'Dividends', 'Stock Splits']
2026-04-15 16:32:52,609 - INFO - Yahoo daily raw for GOOG: shape=(251, 8), index_type=<class 'pandas.DatetimeIndex'>, index_name=Date, columns=['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'Dividends', 'Stock Splits']
2026-04-15 16:32:52,818 - INFO - Yahoo daily raw for MSFT: shape=(251, 8), index_type=<class 'pandas.DatetimeIndex'>, index_name=Date, columns=['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'Dividends', 'Stock Splits']
2026-04-15 16:32:53,088 - INFO - Yahoo daily raw for GEHC: shape=(251, 8), index_type=<class 'pandas.DatetimeIndex'>, index_name=Date, columns=['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'Dividends', 'Stock Splits']
2026-04-15 16:32:53,292 - INFO - Yahoo daily raw for AAL: shape=(251, 8), index_type=<class 'pandas.DatetimeIndex'>, index_name=Date, columns=['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'Dividends', 'Stock Splits']
2026-04-15 16:32:53,518 - INFO - Yahoo daily raw for RUM: shape=(251, 8), index_type=<class 'pandas.DatetimeIndex'>, index_name=Date, columns=['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'Dividends', 'Stock Splits']
2026-04-15 16:32:53,915 - INFO - Yahoo daily raw for GE: shape=(251, 8), index_type=<class 'pandas.DatetimeIndex'>, index_name=Date, columns=['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'Dividends', 'Stock Splits']
